,station,week,zaterdag,zondag,lat,lng,station_link
522,RUISBR.-SAUVEGARDE,168,9,9,51.081145,4.3255097000000005,Ruisbroek-Sauvegarde
523,RUISBROEK,535,102,104,50.79072859999999,4.2949742,Ruisbroek
524,SART-BERNARD,82,14,9,50.4063824,4.9496105,Sart-Bernard
525,SCHAARBEEK/SCHAERBEEK,3180,605,578,50.8780623,4.3796395,Schaarbeek/Schaerbeek
526,SCHELDEWINDEKE,329,70,58,50.9370494,3.777783,Scheldewindeke
527,SCHELLE,131,9,9,51.125650500000006,4.340110299999999,Schelle
528,SCHELLEBELLE,440,49,42,51.003179,3.9219508,Schellebelle
529,SCHENDELBEKE,179,56,34,50.7979665,3.8993145,Schendelbeke
530,SCHOONAARDE,202,80,102,51.0032649,4.0113839,Schoonaarde
531,SCHULEN,250,18,95,50.9639675,5.1857558,Schulen
532,SCLAIGNEAUX,80,13,21,50.49205170000001,5.026554900000002,Sclaigneaux
533,SCLESSIN,44,9,9,50.610735,5.5558492,Sclessin
534,SERSKAMP,133,63,33,50.9851136,3.958648,Serskamp
535,SILLY,1284,162,125,50.6624688,3.935265199999999,Silly
536,SIMONIS,99,34,46,50.8635528,4.3310037,Simonis
537,SINAAI,248,52,46,51.1433326,4.068006899999999,Sinaai
538,SLEIDINGE,184,34,19,51.1263066,3.6679396,Sleidinge
539,SOIGNIES,2771,572,470,50.5732385,4.0691760000000015,Soignies
540,SOLRE-SUR-SAMBRE,81,20,26,50.312781,4.157785,Solre-sur-Sambre
541,SPA,383,198,296,34.65516950000001,-92.3898819,
542,SPA-GERONSTERE,340,189,153,50.48929889999999,5.8667224,Spa
543,SPA-GERONSTERE,340,189,153,50.48929889999999,5.8667224,Spa-Géronstère
544,STATTE,586,181,107,40.5656758,17.212548499999997,
545,ST-DENIJS-BOEKEL,185,9,9,50.8743084,3.698268499999999,Sint-Denijs-Boekel
546,ST-DENIS-BOVESSE,148,38,28,50.5207049,4.7689962,Saint-Denis-Bovesse
547,ST-GEN-RODE/RHODE-ST-GEN,1318,233,241,50.7479773,4.3616964000000005,Sint-Genesius-Rode
548,ST-GHISLAIN,2269,512,995,50.4428108,3.8191676,Saint-Ghislain
549,ST-GILLIS,155,25,20,51.0214343,4.118104900000001,Sint-Gillis-Dendermonde
550,ST-JOB,718,9,9,50.7940346,4.361841399999999,Sint-Job
551,ST-JORIS-WEERT,287,64,89,50.80073669999999,4.6515391,Sint-Joris-Weert
552,ST-KATELIJNE-WAVER,962,169,127,51.0699893,4.496118699999999,Sint-Katelijne-Waver
553,ST-MARIABURG,104,51,34,51.2912553,4.434954900000001,Sint-Mariaburg
554,ST-MARTENS-BODEGEM,349,55,68,50.86727570000001,4.2066623,Sint-Martens-Bodegem
555,ST-NIKLAAS,7205,1907,1999,51.17165869999999,4.1443998,Sint-Niklaas
556,STOCKEM,18,3,3,49.69080570000001,5.7681071,Stockem
557,ST-TRUIDEN,1459,744,798,50.81749079999999,5.176410400000001,Sint-Truiden
558,SY,33,15,37,35.515602,35.78742340000001,
559,TAMINES,1519,357,297,50.43230399999999,4.6097106,Tamines
560,TEMSE,612,87,194,51.1260978,4.221322,Temse
